Observation ID,Date,Longitude,latitude,Aspect,Area,avalanche_size,Type,Trigger,avalanche_occurred
49238b1d-79ff-41e9-95fd-16260e1b1b61,2026-02-13 02:13:00+00:00,-107.4270133,39.7628274,E,Steamboat & Flat Tops,1.0,L,N,1
cf29b4da-aac5-4f7e-b174-76c489a4c7b2,2026-02-12 20:00:00+00:00,-106.984391,40.8232073,E,Steamboat & Flat Tops,1.5,SS,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:50:00+00:00,-107.058766,38.919702,NE,Gunnison,2.0,SS,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.116667,38.933857,SE,Gunnison,1.5,,N,1
3d2974e6-8de4-4393-8b09-d020fd9e4986,2026-02-12 19:00:00+00:00,-107.1753224,39.0183919,N,Aspen,1.5,SS,N,1
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.011971,39.021924,SE,Gunnison,1.5,L,N,1
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.051755,38.982873,SE,Gunnison,1.5,,N,1
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.008003,38.952292,SE,Gunnison,2.0,SS,N,1
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-106.981357,38.825573,N,Gunnison,1.5,L,N,1
6a3a36ab-cfd0-4714-b3a7-6e4ed32aa7f8,2026-02-12 19:00:00+00:00,-107.017526,39.01467,S,Gunnison,1.0,,N,1
49238b1d-79ff-41e9-95fd-16260e1b1b61,2026-02-12 19:00:00+00:00,-107.3080947,39.7476417,NE,Steamboat & Flat Tops,1.0,SS,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.018789,38.892144,NE,Gunnison,1.0,L,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.026603,38.900485,NE,Gunnison,1.0,WL,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.069166,38.936413,E,Gunnison,1.0,WL,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.06145,38.928701,NE,Gunnison,1.0,SS,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.057244,38.918251,E,Gunnison,2.0,SS,N,1
79ab3f92-2b99-41e6-aaf8-3918060a139f,2026-02-12 19:00:00+00:00,-107.067042,38.929392,NE,Gunnison,2.0,SS,N,1
3d2974e6-8de4-4393-8b09-d020fd9e4986,2026-02-12 19:00:00+00:00,-107.2056417,39.0311906,N,Aspen,2.0,SS,N,1
31f87455-415a-4a11-9aff-c45ed898117e,2026-02-12 18:00:00+00:00,-107.7862461,37.8460554,SW,Northern San Juan,1.0,WL,N,1
,2026-02-11 19:00:00+00:00,-107.101155,38.944447,NE,Gunnison,1.0,L,N,1
f5c43ac4-28c3-431d-97ed-cafb71de63b0,2026-02-10 19:00:00+00:00,-105.8805766,39.6531554,SE,Vail & Summit County,1.0,SS,N,1
,2026-02-08 19:00:00+00:00,-107.0394604,39.0114568,SW,Gunnison,1.5,,N,1
eca4ac69-24ac-4f9d-830f-8028a3c96ae0,2026-02-08 19:00:00+00:00,-107.6446518,37.8003871,N,Northern San Juan,1.0,SS,N,1
,2026-02-08 19:00:00+00:00,-106.9669489,38.9816172,SE,Gunnison,1.5,,N,1
725f0250-8bcd-4c39-bf21-2612490e104e,2026-02-08 19:00:00+00:00,-105.673358,40.3108177,SE,Front Range,1.0,,N,1
7bdfa3ed-4131-4ccb-9732-6a5fd4f6ce74,2026-02-07 19:00:00+00:00,-106.1400903,39.615922,S,Vail & Summit County,1.0,L,N,1
45bfd639-bb7a-48d8-bd74-bf744e122092,2026-02-07 19:00:00+00:00,-107.2143113,39.0356168,W,Aspen,1.0,WL,N,1
9ec29edb-76ea-4c8d-bf8a-a4cbb7516283,2026-02-07 19:00:00+00:00,-106.816309,39.010112,N,Aspen,1.0,L,,1
45bfd639-bb7a-48d8-bd74-bf744e122092,2026-02-07 19:00:00+00:00,-107.1803034,39.0159423,W,Aspen,1.0,WL,N,1
9ec29edb-76ea-4c8d-bf8a-a4cbb7516283,2026-02-07 19:00:00+00:00,-106.8285003,39.0237849,SE,Aspen,1.0,WL,N,1
626a909c-35a4-4fae-9b98-621a49dc6953,2026-02-06 19:00:00+00:00,-107.129375,38.890398,E,Gunnison,1.0,WL,N,1
626a909c-35a4-4fae-9b98-621a49dc6953,2026-02-06 19:00:00+00:00,-107.127801,38.903536,SE,Gunnison,1.0,WL,N,1
626a909c-35a4-4fae-9b98-621a49dc6953,2026-02-06 19:00:00+00:00,-107.118287,38.910985,SE,Gunnison,1.0,WL,N,1
626a909c-35a4-4fae-9b98-621a49dc6953,2026-02-06 19:00:00+00:00,-107.116956,38.919399,SE,Gunnison,1.0,WL,N,1
