station_id,station_triplet,name,latitude,longitude,elevation_ft,elevation_m,county,huc,active
914,914:CO:SNTL,Medano Pass,37.85192,-105.43666,9650.0,2941.32,Saguache,130100030604,True
622,622:CO:SNTL,Mesa Lakes,39.05738,-108.05756,10160.0,3096.768,Mesa,140100051307,True
937,937:CO:SNTL,Michigan Creek,39.43579,-105.91072,10700.0,3261.36,Park,101900010404,True
624,624:CO:SNTL,Middle Creek,37.61779,-107.03932,11260.0,3432.0480000000002,Mineral,130100010502,True
1014,1014:CO:SNTL,Middle Fork Camp,39.79565,-106.02802,8960.0,2731.0080000000003,Grand,140100010402,True
629,629:CO:SNTL,Mineral Creek,37.84737,-107.72657,10030.0,3057.1440000000002,San Juan,140801040103,True
632,632:CO:SNTL,Molas Lake,37.74929,-107.68933,10610.0,3233.9280000000003,San Juan,140801040302,True
1124,1124:CO:SNTL,Moon Pass,37.96627,-106.55857,11110.0,3386.328,Saguache,130100040201,True
658,658:CO:SNTL,Nast Lake,39.29695,-106.60786,8710.0,2654.808,Pitkin,140100040504,True
1031,1031:CO:SNTL,Never Summer,40.40392,-105.95567,10300.0,3139.44,Jackson,101800010401,True
663,663:CO:SNTL,Niwot,40.03581,-105.5452,9940.0,3029.712,Boulder,101900050401,True
669,669:CO:SNTL,North Lost Trail,39.07818,-107.14388,9190.0,2801.112,Gunnison,140100040703,True
675,675:CO:SNTL,Overland Res.,39.09035,-107.63583,9890.0,3014.472,Delta,140200040101,True
680,680:CO:SNTL,Park Cone,38.81982,-106.58962,9600.0,2926.08,Gunnison,140200010107,True
682,682:CO:SNTL,Park Reservoir,39.04433,-107.87951,9990.0,3044.952,Delta,140200050111,True
688,688:CO:SNTL,Phantom Valley,40.39803,-105.84606,9030.0,2752.344,Grand,140100010302,True
701,701:CO:SNTL,Porphyry Creek,38.48864,-106.33967,10790.0,3288.7920000000004,Gunnison,140200030105,True
709,709:CO:SNTL,Rabbit Ears,40.36735,-106.74118,9390.0,2862.072,Routt,140500010402,True
1324,1324:CO:SNTL,Rat Creek,37.93571,-106.98192,11680.0,3560.0640000000003,Mineral,130100010602,True
1032,1032:CO:SNTL,Rawah,40.70794,-106.00727,9100.0,2773.6800000000003,Jackson,101800010603,True
713,713:CO:SNTL,Red Mountain Pass,37.89168,-107.71389,11060.0,3371.088,San Juan,140801040103,True
717,717:CO:SNTL,Ripple Creek,40.10844,-107.29383,10340.0,3151.632,Rio Blanco,140500050102,True
718,718:CO:SNTL,Roach,40.87498,-106.04675,9710.0,2959.608,Larimer,101800100106,True
939,939:CO:SNTL,Rough And Tumble,39.02611,-106.08063,10420.0,3176.016,Park,101900010202,True
1100,1100:CO:SNTL,Saint Elmo,38.69985,-106.36805,10420.0,3176.016,Chaffee,110200010501,True
1128,1128:CO:SNTL,Sargents Mesa,38.2856,-106.37085,11490.0,3502.152,Saguache,130100040306,True
1251,1251:CO:SNTL,Sawtooth,40.13632,-105.58486,9640.0,2938.272,Boulder,101900050102,True
737,737:CO:SNTL,Schofield Pass,39.01467,-107.04933,10640.0,3243.072,Gunnison,140100040701,True
739,739:CO:SNTL,Scotch Creek,37.64562,-108.00833,9160.0,2791.9680000000003,Dolores,140300020204,True
1060,1060:CO:SNTL,Sharkstooth,37.50356,-108.11405,10730.0,3270.5040000000004,Montezuma,140300020206,True
762,762:CO:SNTL,Slumgullion,37.99076,-107.20392,11560.0,3523.4880000000003,Hinsdale,140200020502,True
773,773:CO:SNTL,South Colony,37.96647,-105.53671,10790.0,3288.7920000000004,Custer,110200011206,True
780,780:CO:SNTL,Spud Mountain,37.69883,-107.77841,10660.0,3249.168,San Juan,140801040203,True
793,793:CO:SNTL,Stillwater Creek,40.22532,-105.9198,8760.0,2670.0480000000002,Grand,140100010306,True
797,797:CO:SNTL,Stump Lakes,37.47647,-107.63348,11230.0,3422.904,La Plata,140801040702,True
802,802:CO:SNTL,Summit Ranch,39.71803,-106.1577,9350.0,2849.88,Summit,140100020502,True
825,825:CO:SNTL,Tower,40.5374,-106.67655,10610.0,3233.9280000000003,Routt,140500010407,True
