Longitude,latitude,elevation,slope,aspect_degrees,aspect_cardinal
-107.4270133,39.7628274,3362.0,28.634595301317738,85.03718490699595,E
-106.984391,40.8232073,2591.0,11.158064957861091,105.33328479305355,E
-107.058766,38.919702,3435.0,27.228424482290336,33.221975166711445,NE
-107.116667,38.933857,3724.0,25.997108647526694,141.56269850893747,SE
-107.1753224,39.0183919,3332.0,40.505057263544074,344.9768467482404,N
-107.011971,39.021924,3624.0,37.31457861475354,151.34404583866257,SE
-107.051755,38.982873,3666.0,29.751365250505483,164.9315118405078,S
-107.008003,38.952292,3726.0,28.323094333924043,138.19247261293202,SE
-106.981357,38.825573,3718.0,32.52420978878992,12.484518272330163,N
-107.017526,39.01467,3740.0,32.003213041166994,181.1123996162978,S
-107.3080947,39.7476417,3312.0,8.389301002244132,70.06746343806047,E
-107.018789,38.892144,3115.0,32.303509393007396,44.417351140813516,NE
-107.026603,38.900485,2892.0,35.33955153676992,30.291696100317253,NE
-107.069166,38.936413,3260.0,27.269616532330705,88.9890029476696,E
-107.06145,38.928701,3194.0,33.31453339346835,61.484453189535664,NE
-107.057244,38.918251,3458.0,20.58647439072209,47.944046349987616,NE
-107.067042,38.929392,3414.0,24.48786523674588,51.75709754450589,NE
-107.2056417,39.0311906,3529.0,10.237939940533941,82.27817419986903,E
-107.7862461,37.8460554,3784.0,27.535048332458096,233.69278111696352,SW
-107.101155,38.944447,3545.0,13.418926390934148,4.007804542372327,N
-105.8805766,39.6531554,3713.0,24.6678458204553,78.91358698834037,E
-107.0394604,39.0114568,3372.0,34.13153358753246,231.54038582819663,SW
-107.6446518,37.8003871,3667.0,36.825501388230876,349.4581825881048,N
-106.9669489,38.9816172,3630.0,37.63202423340054,153.485340876343,SE
-105.673358,40.3108177,3330.0,45.79525856970557,126.29048357799503,SE
-106.1400903,39.615922,3696.0,38.1338899944885,131.54127568119358,SE
-107.2143113,39.0356168,3517.0,33.58072437117289,266.7257782365146,W
-106.816309,39.010112,3335.0,27.743540327247825,345.6432240465435,N
-107.1803034,39.0159423,3239.0,31.82733219879883,263.96901075434783,W
-106.8285003,39.0237849,3831.0,7.003144137438555,69.77514056883192,E
-107.129375,38.890398,3524.0,28.338171906411937,102.8256743764762,E
-107.127801,38.903536,3773.0,35.547311250224425,132.24916520411875,SE
-107.118287,38.910985,3727.0,36.00167816725136,164.51427384309022,S
-107.116956,38.919399,3629.0,39.385528953947336,148.1291663203487,SE
-107.112994,38.921517,3570.0,40.72740322990221,94.84740739056772,E
-106.1421276,39.3353746,4105.0,32.646307796799114,143.2931828801182,SE
-106.1421491,39.3339893,4049.0,38.57310426077775,136.38965201557716,SE
-105.9027677,39.6610523,3650.0,19.177189180306872,127.17092348994039,SE
-107.114795,38.945092,3658.0,29.935229938012643,131.15754687208513,SE
-106.964442,38.981587,3543.0,30.309670179504092,120.55596427550776,SE
-106.9352364,39.163663,3446.0,33.537456502734265,34.92752216256106,NE
-107.1239579,39.1016521,3751.0,27.449405666263814,106.63511915778737,E
-107.1551555,39.050506,3573.0,31.90852350156756,222.63049193574471,SW
-106.8353204,39.0575277,3735.0,29.838173037887717,131.99847567230086,SE
-106.0743851,39.3676595,3654.0,21.56272628009108,180.0,S
-107.1287538,39.1002724,3530.0,33.65182558469773,215.53767779197437,SW
-107.1200796,39.100062,3623.0,11.291874680689183,223.1523897340054,SW
-105.9764811,39.4672502,3653.0,18.2339191203098,76.92608114174963,E
-107.121383,38.933576,3521.0,30.35859693954401,242.9044475062482,SW
-107.065489,38.921565,3259.0,32.72834713530103,242.4680232512777,SW
-107.089361,38.940119,3659.0,18.76673387774498,248.8156711549539,W
-107.102035,38.944233,3534.0,18.946357239080083,234.34467190209972,SW
-106.9395545,39.008395,3674.0,29.428043043496647,225.87135151767836,SW
-107.1275785,39.2910834,2914.0,9.355960710743304,57.04257514288498,NE
-107.0707331,39.0733674,3443.0,34.192405634578584,298.11011715473836,NW
-107.096731,39.0940602,3697.0,34.91648151386862,253.4558345323584,W
-107.007906,38.952384,3672.0,33.27958354596626,117.51200262385146,SE
-107.11735,38.93301,3723.0,12.28785680453508,214.7960262782683,SW
-107.115669,38.934342,3690.0,32.3830911418899,141.40435272638416,SE
-106.886089,38.972207,3852.0,25.1783776932672,260.7199543122903,W
-106.966902,38.98205,3630.0,37.632098306818925,153.485340876343,SE
-107.063184,38.864419,3243.0,22.93529197018574,101.1489896964418,E
-107.012546,39.0134,3482.0,35.033509129565005,139.2104984033022,SE
-107.123916,38.908667,3926.0,22.352252222782177,67.6887852590412,E
-105.9058159,39.6611863,3746.0,27.670889758014358,128.63382377536675,SE
-107.083766,38.911506,3615.0,30.479228779379106,78.11134196037202,E
-105.9054297,39.6626503,3807.0,29.160674650267236,127.68299276767522,SE
-106.88661,38.974529,3806.0,35.715486017697785,263.33957434872514,W
-107.072,38.938783,3309.0,27.770571805181255,80.89017932342182,E
-107.7798545,37.7780543,3731.0,21.632545514925507,62.17056135193816,NE
-108.0123762,37.7446573,2896.0,36.844327762575865,313.8607454573058,NW
-107.7139296,37.9242849,3617.0,27.00573024159724,137.39591545032175,SE
-106.940644,39.0832391,3516.0,30.757799464530716,101.76828893202064,E
-106.1406801,39.6161494,3751.0,40.98868460394989,127.31155223009713,SE
-107.015969,39.01457,3662.0,37.538339421975124,165.71691171388173,S
-106.966137,38.980412,3495.0,33.26224331363561,141.38156053259345,SE
-107.8333021,37.883586,3698.0,43.76497728751396,279.0475719999007,W
-105.8630716,39.6559625,3735.0,28.741725011437822,241.65614850724816,SW
